region,total,lat,lon
columbus,3608,33.508,-88.4136
jacksonville,3562,30.337,-81.6613
spokane / coeur d'alene,2988,47.702465,-116.796883
eugene,2985,44.0567,-123.116
fresno / madera,2983,37.23722,-119.77417
orlando,2983,28.4159,-81.2988
omaha / council bluffs,2982,41.25861,-95.93779
bend,2982,44.0564,-121.308
new hampshire,2981,40.5498,-83.9501
kennewick-pasco-richland,2981,46.1983,-119.174
nashville,2980,36.1718,-86.785
salem,2980,44.9429,-123.0351
oklahoma city,2979,35.4671,-97.5137
reno / tahoe,2979,39.52963,-119.8138
rochester,2978,43.1699,-77.6169
boston,2978,42.332,-71.0202
sarasota-bradenton,2977,27.3369,-82.5459
stockton,2977,37.9766,-121.309
boise,2976,43.6135,-116.20345
portland,2976,45.52345,-122.67621
houston,2975,29.7805,-95.3863
south jersey,2974,40.8648,-74.0481
seattle-tacoma,2973,47.60621,-122.33207
minneapolis / st paul,2973,44.97997,-93.26384
modesto,2973,37.6609,-120.989
philadelphia,2973,40.0094,-75.1333
grand rapids,2972,42.9612,-85.6556
pittsburgh,2971,40.4398,-79.9768 
las vegas,2971,36.17497,-115.13722
milwaukee,2971,43.0124,-87.971
baltimore,2971,39.3002,-76.6105
"washington, DC",2970,38.9041,-77.0171
tulsa,2970,36.1279,-95.9023
cincinnati,2970,39.1399,-84.5064
sacramento,2970,38.5666,-121.469
tucson,2969,32.1543,-110.871
austin,2969,30.26715,-97.74306
north jersey,2969,40.73566,-74.17237
charlotte,2968,35.2062,-80.8326
maine,2966,42.2053,-76.0258
atlanta,2965,33.7629,-84.4227
hawaii,2964,21.3143,-157.805
long island,2964,43.6885,-70.1609
central NJ,2961,39.833851,-74.871826
phoenix,2960,33.44838,-112.07404
detroit metro,2959,42.383,-83.1022
dallas / fort worth,2957,32.7942,-96.7655
"kansas city, MO",2957,39.1225,-94.7418
ft myers / SW florida,2955,26.619,-81.832
cleveland,2953,41.4995,-81.69541
san diego,2953,32.8153,-117.135
albuquerque,2952,35.08449,-106.65114
orange county,2952,33.8048, -117.825
denver,2952,39.7618,-104.881
new york city,2950,40.6643,-73.9385
inland empire,2950,37.09024,-95.712891
norfolk / hampton roads,2946,37.048,-76.2971
tampa bay area,2945,27.94752,-82.45843
"st louis, MO",2940,38.62727,-90.19789
los angeles,2937,34.0194,-118.411
SF bay area,2936,37.7272,-123.032
chicago,2929,41.8379,-87.6828
des moines,2923,41.5533,-93.7598
south florida,2920,25.761681,-80.191788
raleigh / durham / CH,2918,35.787743,-78.644257
colorado springs,2914,38.83388,-104.82136
san antonio,2891,29.42412,-98.49363
knoxville,2763,35.96064,-83.92074
anchorage / mat-su,2742,61.1775,-149.274
hartford,2564,41.7614,-72.6153
albany,2537,42.6657,-73.7984
bakersfield,2528,35.3212,-119.018
redding,2526,40.5674,-122.365
springfield,2520,37.21533,-93.29824
ventura county,2518,34.2681,-119.255
vermont,2513,44.4667,-73.15
fayetteville,2415,35.0851,-78.9803
madison,2387,43.0878,-89.4301
fort collins / north CO,2385,40.5509,-105.064
richmond,2346,37.5314,-77.476
greenville / upstate,2327,34.8369,-82.363
rhode island,2320,41.8239,-71.4178
bellingham,2313,48.7499,-122.47
indianapolis,2303,39.76838,-86.15804
akron / canton,2211,41.0805,-81.5214
greensboro,2078,36.0948,-79.8236
western massachusetts,2039,42.1255,-72.6497
buffalo,2006,42.8925,-78.8597
palm springs,1978,33.8007,-116.537
el paso,1977,31.8484,-106.427
medford-ashland,1962,42.326515,-122.875595
louisville,1938,38.25424,-85.75941
worcester / central MA,1914,42.2695,-71.8078
little rock,1841,34.7251,-92.3606
ocala,1828,29.1803,-82.1488
dayton / springfield,1787,39.758949,-84.191605
yuba-sutter,1747,39.1339,-121.639
memphis,1724,35.14953,-90.04898
yakima,1704,46.5922,-120.547
billings,1701,45.7895,-108.55
wichita,1694,37.6907,-97.3427
hudson valley,1692,42.2519,-73.786
birmingham,1647,33.5275,-86.7955
new haven,1644,41.3108,-72.9249
daytona beach,1633,29.1973,-81.0881
charleston,1509,32.8219,-79.9619
chico,1486,39.7552,-121.819
san luis obispo,1455,35.2685,-120.67
monterey bay,1451,36.6013,-121.883
asheville,1423,35.571,-82.5527
